id,brand_name,title,year,publish_month,material,theme_series,print_size,inspiration_origin,created_at,updated_at
30000001,色未浓,往期欣赏——【色未浓】画韵春秋 南意秋棠独家印花汉服布料,2017,Jul-17,30D天丝雪纺,画韵春秋系列,循环印花料,【色未浓】花纹元素：红芙蓉花，白芙蓉花。露染芙蓉色未浓，正似美人初醉貌。芙蓉花期将至，国色又染仲夏，该是花影添上衣裳时节。此款底色为古画绢本色，淡淡花型照影其上，若画若诗，华丽亦能淡雅，为您的夏日添上一抹香。此款单层在自然光下颜色相对较浅，是很有韵味的旧绢色。花型较大，且材质薄透，穿着于身很是美好~,20/1/2025 17:47:17,20/6/2025 09:07:18
30000002,柿柿同堂,【柿柿同堂】预售征集――画韵春秋 南意秋棠独家印花汉服布料,2017,Jul-17,30D天丝雪纺,画韵春秋系列,循环印花料,【柿柿同堂】花纹元素：柿子，海棠果，蜗牛。此款灵感来源于传统四世同堂吉祥纹样。而此处为“柿柿”（世世），于是添加了可爱的小蜗牛，既活跃画面增加动态元素，又代表两代人居住的小窝，是取柿柿同棠一窝（家）亲的吉祥寓意。为和图案中的小柿子呼应，底色也选用了浅浅的橘色，阳光下单层效果非常柔和轻盈，愿大家过一个温馨美好的夏天~,20/1/2025 17:47:17,20/6/2025 09:06:10
30000003,蜜丸,【蜜丸】预售征集――画韵春秋系列 南意秋棠独家印花汉服布料,2017,Jul-17,30D天丝雪纺,画韵春秋系列,循环印花料,【蜜丸】花纹元素：枇杷，海棠果。此款灵感来源是枇杷和海棠两种可做甜蜜饯儿的植物果实，其味酸酸甜甜属夏季首选~背景来源于夏日树木的浓阴投影在旧山墙，一瞬间的美让人驻足，所以我们记录下了那斑驳墙面。绿色的树荫叠加墙面的斑驳落在布料之上成为了我们的底色。布料单层轻薄飘逸，非常适合夏季穿着。希望在炎热的夏季大家也能感受到一丝凉爽~,20/1/2025 17:47:17,20/6/2025 09:06:28
30000004,万有同春,一条龙【万有同春】――画韵春秋系列 南意秋棠独家汉服布料,2017,Aug-17,乱麻雪纺,画韵春秋系列,循环印花料,【万有同春】花纹元素：各种花卉花枝（取自钱维城《万有同春图》）万有同春一年年，年年花共妍。以百花长卷为主题，传统审美，中正平和。每一个应该被记住的日子，都是明媚春日，都能万有同春，这是我们最真心的期望。我们想参与你最幸福的时候，你的婚礼，你的毕业典礼，你的每一个庄重的重要时刻。此款布料选色传统蓝色、娟色、红色为主打，按照文物传统样式设计了膝襕底襕，适合制作马面或褶裙，三米长卷不重复定位印花，适合春秋季节搭配各种上袄，衫子穿着。红色特别选取了百花长卷中虞美人色，底色与百花中红色花卉相映成趣。绢色更注重画卷主题的表现，似整幅长卷缓缓展开，配色日常柔和，适用更多场合与搭配。蓝色端正百搭，从八个蓝色打样中选取，既不沉闷亦不过分张扬。,20/1/2025 17:47:17,20/6/2025 09:08:05
30000005,问灵,【问灵】特价材料包――店庆福利 执?念系列 南意秋棠独家印花,2017,Sep-17,30D天丝雪纺,执·念系列,循环印花料,【问灵】花纹元素：古琴曲谱【酒狂】，传统祥云装饰纹样，道教传统符咒纹样。莲坞紫竹横笛鸣，招魂驱邪江湖行。问灵亦有伏魔意，仙山洞府焦尾声。【问灵】选用古琴曲酒狂一篇的减字谱，上浅下浓分布在膝下裙摆处，做成裙后，淡蓝色曲谱随走动若隐若现，远观并不明朗，近看颇有细节感；,20/1/2025 17:47:17,11/6/2025 08:59:22
30000006,招魂,【问灵】【招魂】――执念系列 南意秋棠独家汉服印花布料,2017,Sep-17,30D天丝雪纺,执·念系列,循环印花料,【招魂】花纹元素：传统祥云装饰纹样，道教传统符咒纹样。莲坞紫竹横笛鸣，招魂驱邪江湖行。问灵亦有伏魔意，仙山洞府焦尾声。花纹选用道教传统符咒与北帝伏魔符为主体花色，渐变而下，有别样观感，中国古典哥特风（大雾）。为增加变化感与cp感，加入了相同的云纹纹样装饰在侧。,20/1/2025 17:47:17,20/6/2025 09:11:52
30000007,云深,【问灵】【招魂】【云深】【坐忘】【远道】执念系列 南意秋棠布料,2017,Sep-17,乱麻雪纺,执·念系列,循环印花料,【云深】（白款/黑款）花纹元素：传统祥云装饰纹样。沈沈音信断，冉冉光阴改，仙山路隔空云海。选用传统祥云纹样设计，每个单独的云纹花纹都采用中间向四周渐变处理，黑款的每朵云纹花纹深浅不一，营造云海深深之感，仿佛身处若隐若现的仙山云雾之中。,20/1/2025 17:47:17,20/6/2025 09:11:11
30000008,坐忘,【问灵】【招魂】【云深】【坐忘】【远道】执念系列 南意秋棠布料,2017,Sep-17,30D天丝雪纺,执·念系列,循环印花料,【坐忘】花纹元素：夔龙纹玉璧，传统祥云装饰纹样。冥思坐忘，无垢无伤；纱袖三尺，藏心纳情。傲笑江湖，纵云而去；有无之间，一念枯荣。以浅灰色为底色，白色传统祥云为底纹，缀以夔龙纹玉璧为饰。此款布料在阳光下色彩出尘，缥缈梦幻 。大面积的浅色云纹，使人颇有置身仙境之感；而玉璧为饰，又暗合君子如玉之意。,20/1/2025 17:47:17,20/6/2025 09:10:11
30000009,远道,【问灵】【招魂】【云深】【坐忘】【远道】执念系列 南意秋棠布料,2017,Sep-17,30D天丝雪纺,执·念系列,循环印花料,【远道】花纹元素：蛛网，饕餮青铜面具。同心而离居，所思在远道。时间浩渺，物换星移，青铜上锈，蛛网百结。勿能一处，人鬼殊途。底纹取自饕餮纹青铜面具，上结红色蛛网，既有时间浩渺的沧桑之感，又营造一种妖异的氛围。,20/1/2025 17:47:17,20/6/2025 09:09:21
30000010,朱砂茶梅,往期欣赏——特别款【金星雪浪】【朱砂茶梅】南意秋棠印花布料,2017,Oct-17,30D天丝雪纺/银丝乱麻,特别款,循环印花料,"花纹元素：工笔红山茶，缠枝牡丹团花纹样。

掌中调丹砂，染此鹤顶红。

主花为山茶杜鹃红种，颜色艳丽诱人，简单花型却艳动隆冬，满城霜雪时一丛山茶花如白雾种一抹丹砂，占尽了寒冬姿色。郭沫若说“人人都道牡丹好，我说牡丹不及茶”，故以白描牡丹团花做底，更衬山茶艳色，似朱砂似美人。",20/1/2025 17:47:17,16/6/2025 13:38:35
30000011,金星雪浪,往期欣赏——特别款【金星雪浪】【朱砂茶梅】南意秋棠印花布料,2017,Oct-17,30D天丝雪纺/银丝乱麻,特别款,循环印花料,"花纹元素：工笔白牡丹，牡丹白描线稿。

一年春色摧残尽，更觅姚黄魏紫看。

牡丹艳色难掩，案前花品第一者。有金星雪浪一种，花白色带淡淡黄，乃中品，名号却占了仙风道骨、高冷清冽之感。配白描牡丹花枝底纹，鹅黄、葡紫衬底，新春佳节穿着实佳。",20/1/2025 17:47:17,16/6/2025 13:38:37
30000012,临窗四梦,往期欣赏——【临窗四梦】画韵春秋系列 南意秋棠汉服印花布料,2018,Feb-18,长丝斜纹,画韵春秋系列,循环印花料,"【叹春晴】
花纹元素：海棠花树，蜜蜂。

四海应无蜀海棠，一时开处一城香。
晴来使府低临槛，雨后人家散出墙。

【春风裁】
花纹元素：垂柳，涟漪。

碧玉妆成一树高，万条垂下绿丝绦。
不知细叶谁裁出，二月春风似剪刀。

【阳春蔓】
花纹元素：紫藤花蔓。

紫藤挂云木，花蔓宜阳春。
密叶隐歌鸟，香风留美人。

【春色晚】
花纹元素：墨竹，石碑。

新年都未有芳华，二月初惊见草芽。
白雪却嫌春色晚，故穿庭树作飞花。",20/1/2025 17:47:17,11/6/2025 03:51:37
30000013,晓梦,往期欣赏——【晓梦】长物志系列 南意秋棠独家汉服印花布料,2018,Feb-18,30D天丝雪纺,长物志系列,循环印花料,"花纹元素：粉彩团蝶纹。

昔者庄周梦为胡蝶，栩栩然胡蝶也，自喻适志与，不知周也。俄然觉，则蘧蘧然周也。不知周之梦为胡蝶与，胡蝶之梦为周与？",20/1/2025 17:47:17,20/6/2025 09:49:36
30000014,红豆曲,往期欣赏——【红豆曲】【绿豆词】长物志系列 南意秋棠印花布料,2018,Feb-18,30D天丝雪纺,长物志系列,循环印花料,"花纹元素：园林窗格。
陈迦陵词有“旧时庭院隔天涯,记得沿街一树粉梨花,记得花荫微露几扇绿窗纱。”之句，隔窗看景，如隔花而赏美人，别添一番趣味，以《园冶》装折篇之趣味，取松石绿、朱红两种中国传统色，做叠穿面料外层，为内层花卉风景添一分含蓄景深，欲遮还露的风韵。",20/1/2025 17:47:17,16/6/2025 14:07:56
30000015,绿豆词,往期欣赏——【红豆曲】【绿豆词】长物志系列 南意秋棠印花布料,2018,Feb-18,30D天丝雪纺,长物志系列,循环印花料,"花纹元素：园林窗格。
陈迦陵词有“旧时庭院隔天涯,记得沿街一树粉梨花,记得花荫微露几扇绿窗纱。”之句，隔窗看景，如隔花而赏美人，别添一番趣味，以《园冶》装折篇之趣味，取松石绿、朱红两种中国传统色，做叠穿面料外层，为内层花卉风景添一分含蓄景深，欲遮还露的风韵。",20/1/2025 17:47:17,16/6/2025 14:09:03
